t=0.0035292656 step=29 substeps=435
t=0.0070585312 step=58 substeps=870
t=0.010587797 step=87 substeps=1305
t=0.014117062 step=116 substeps=1740
t=0.017524629 step=144 substeps=2160
t=0.021053895 step=173 substeps=2595
t=0.02458316 step=202 substeps=3030
t=0.028112426 step=231 substeps=3465
t=0.031519993 step=259 substeps=3885
t=0.035049258 step=288 substeps=4320
t=0.038578524 step=317 substeps=4755
t=0.042107789 step=346 substeps=5190
t=0.045515356 step=374 substeps=5610
t=0.049044622 step=403 substeps=6045
t=0.052573887 step=432 substeps=6480
t=0.056103153 step=461 substeps=6915
t=0.05951072 step=489 substeps=7335
t=0.063039985 step=518 substeps=7770
t=0.066569251 step=547 substeps=8205
t=0.07 step=576 substeps=8628
